,index,accuracy
0,00000,0.5
1,10000,0.6588
2,01000,0.6789000000000001
3,00100,0.6992
4,00010,0.6323000000000001
5,00001,0.5
6,11000,0.7578
7,10100,0.7774000000000001
8,10010,0.7212999999999999
9,10001,0.6588
10,01100,0.7845
11,01010,0.7361
12,01001,0.6789000000000001
13,00110,0.7570000000000001
14,00101,0.6992
15,00011,0.6323000000000001
16,11100,0.875
17,11010,0.8235999999999999
18,11001,0.7578
19,10110,0.8483
20,10101,0.7774000000000001
21,10011,0.7212999999999999
22,01110,0.8681000000000001
23,01101,0.7845
24,01011,0.7361
25,00111,0.7570000000000001
26,11110,1.0
27,11101,0.875
28,11011,0.8235999999999999
29,10111,0.8483
30,01111,0.8681000000000001
31,11111,1.0
